domain,skill,demand_count,supply_count,gap,anomaly_flag
Business & Marketing,xilinx ise,0,3,-3,NO
Business & Marketing,speak,0,3,-3,NO
Business & Marketing,capital markets,0,3,-3,NO
Business & Marketing,rtos - os9,0,3,-3,NO
Business & Marketing,business and requirements analysis,0,3,-3,NO
Business & Marketing,unsupervised learning,0,3,-3,NO
Business & Marketing,gse,0,3,-3,NO
Business & Marketing,sound,0,3,-3,NO
Business & Marketing,train employees,0,3,-3,NO
Business & Marketing,active-listening,0,3,-3,NO
Business & Marketing,graphics and design,0,3,-3,NO
Business & Marketing,xcode,0,3,-3,NO
Business & Marketing,experienced manager,0,3,-3,NO
Business & Marketing,trello,0,3,-3,NO
Business & Marketing,bounded rationality,0,3,-3,NO
Business & Marketing,patient and diligent,0,3,-3,NO
Business & Marketing,powerpoint presentations,0,3,-3,NO
Business & Marketing,infolease for lease and financial accounting & citconnect research,0,3,-3,NO
Business & Marketing,mas,0,3,-3,NO
Business & Marketing,know-your-consumer (kyc),0,3,-3,NO
Business & Marketing,strong written and verbal communication skills,0,3,-3,NO
Business & Marketing,fiber brains,0,3,-3,NO
Business & Marketing,collaborating with stakeholders - roadmap,0,3,-3,NO
Business & Marketing,office master system,0,3,-3,NO
Business & Marketing,asp),0,3,-3,NO
Business & Marketing,java programming,0,3,-3,NO
Business & Marketing,assisted living,0,3,-3,NO
Business & Marketing,general ledger accounting skills,0,3,-3,NO
Business & Marketing,web developer,0,3,-3,NO
Business & Marketing,sonet,0,3,-3,NO
Business & Marketing,company platforms: business objects,0,3,-3,NO
Business & Marketing,ifixit pro tech toolkit,0,3,-3,NO
Business & Marketing,through-hole,0,3,-3,NO
Business & Marketing,computer peripherals,0,3,-3,NO
Business & Marketing,broadpos,0,3,-3,NO
Business & Marketing,instruction list.),0,3,-3,NO
Business & Marketing,protocols execution,0,3,-3,NO
Business & Marketing,us gaap principles,0,3,-3,NO
Business & Marketing,construct,0,3,-3,NO
Business & Marketing,production and engineering management,0,3,-3,NO
Business & Marketing,chromeos,0,3,-3,NO
Business & Marketing,lasso regression,0,3,-3,NO
Business & Marketing,ms,0,3,-3,NO
Business & Marketing,tax slayer,0,3,-3,NO
Business & Marketing,microsoft technologies,0,3,-3,NO
Business & Marketing,mediation expertise,0,3,-3,NO
Business & Marketing,toshiba certified service trained on vantage 1.5 t 8 channel mri,0,3,-3,NO
Business & Marketing,fannie mae,0,3,-3,NO
Business & Marketing,gaap understanding,0,3,-3,NO
Business & Marketing,computer graphics,0,3,-3,NO
Business & Marketing,radiography,0,3,-3,NO
Business & Marketing,full finish,0,3,-3,NO
Business & Marketing,design optimization),0,3,-3,NO
Business & Marketing,e-business,0,3,-3,NO
Business & Marketing,requestnet,0,3,-3,NO
Business & Marketing,architectural drafting,0,3,-3,NO
Business & Marketing,e-learning,0,3,-3,NO
Business & Marketing,waterfall,0,3,-3,NO
Business & Marketing,basic knowledge of microsoft powerpoint and excel,0,3,-3,NO
Business & Marketing,electronic & mechanical technology,0,3,-3,NO
Business & Marketing,quickbooks software,0,3,-3,NO
Business & Marketing,cd-roms,0,3,-3,NO
Business & Marketing,various testing equipment,0,3,-3,NO
Business & Marketing,business process,0,3,-3,NO
Business & Marketing,microcontrollers,0,3,-3,NO
Business & Marketing,low voltage power consumption,0,3,-3,NO
Business & Marketing,strong collaborative skills,0,3,-3,NO
Business & Marketing,quality assurance/control,0,3,-3,NO
Business & Marketing,manages the corporate visa accounts for managers and volunteers,0,3,-3,NO
Business & Marketing,marketing research,0,3,-3,NO
Business & Marketing,product improvement,0,3,-3,NO
Business & Marketing,application analysis,0,3,-3,NO
Business & Marketing,linksys,0,3,-3,NO
Business & Marketing,software engineer/developer,0,3,-3,NO
Business & Marketing,engineering ethics,0,3,-3,NO
Business & Marketing,motivation and initiative,0,3,-3,NO
Business & Marketing,responsible for maintaining fixed assets and prepaid sub-ledger accounts,0,3,-3,NO
Business & Marketing,driving license,0,3,-3,NO
Business & Marketing,usb,0,3,-3,NO
Business & Marketing,developing other business analyst,0,3,-3,NO
Business & Marketing,erp/accounting systems proficiency,0,3,-3,NO
Business & Marketing,architecting best practice technical solutions,0,3,-3,NO
Business & Marketing,gdb,0,3,-3,NO
Business & Marketing,microsoft teams,0,3,-3,NO
Business & Marketing,active learning,0,3,-3,NO
Business & Marketing,sequential analysis,0,3,-3,NO
Business & Marketing,rcm,0,3,-3,NO
Business & Marketing,brake systems expertise,0,3,-3,NO
Business & Marketing,real estate p.m.a.s.,0,3,-3,NO
Business & Marketing,spc,0,3,-3,NO
Business & Marketing,proactive and energetic,0,3,-3,NO
Business & Marketing,inventory management and control,0,3,-3,NO
Business & Marketing,market evaluation,0,3,-3,NO
Business & Marketing,collection,0,3,-3,NO
Business & Marketing,patient safety,0,3,-3,NO
Business & Marketing,sage fas,0,3,-3,NO
Business & Marketing,dexterous with hand tools,0,3,-3,NO
Business & Marketing,ad copy,0,3,-3,NO
Business & Marketing,windows installation usb/dvd,0,3,-3,NO
Business & Marketing,xilinx vivado,0,3,-3,NO
Business & Marketing,call center,0,3,-3,NO
Business & Marketing,risk mitigation planning,0,3,-3,NO
Business & Marketing,oracle 8i,0,3,-3,NO
Business & Marketing,source evaluation and selection,0,3,-3,NO
Business & Marketing,interoperability,0,3,-3,NO
Business & Marketing,technical review,0,3,-3,NO
Business & Marketing,related skills,0,3,-3,NO
Business & Marketing,identify electronic components and schematic symbols,0,3,-3,NO
Business & Marketing,solution design,0,3,-3,NO
Business & Marketing,aaa security model,0,3,-3,NO
Business & Marketing,bind,0,3,-3,NO
Business & Marketing,fire protection,0,3,-3,NO
Business & Marketing,microsoft office software,0,3,-3,NO
Business & Marketing,ad hoc,0,3,-3,NO
Business & Marketing,3d modeling,0,3,-3,NO
Business & Marketing,dashboards,0,3,-3,NO
Business & Marketing,operating system knowledge,0,3,-3,NO
Business & Marketing,sales presentations,0,3,-3,NO
Business & Marketing,tapscan,0,3,-3,NO
Business & Marketing,configuration management,0,3,-3,NO
Business & Marketing,validation process specialist,0,3,-3,NO
Business & Marketing,ccna,0,3,-3,NO
Business & Marketing,public accounting,0,3,-3,NO
Business & Marketing,netsuite,0,3,-3,NO
Business & Marketing,acronis true image,0,3,-3,NO
Business & Marketing,initiative to work independent,0,3,-3,NO
Business & Marketing,excellent customer service skills.,0,3,-3,NO
Business & Marketing,sccm 2012 ios-mdm,0,3,-3,NO
Business & Marketing,gshell,0,3,-3,NO
Business & Marketing,art,0,3,-3,NO
Business & Marketing,and wearables. iphones and ipads. printers,0,3,-3,NO
Business & Marketing,dotnet,0,3,-3,NO
Business & Marketing,web-based,0,3,-3,NO
Business & Marketing,groupwise,0,3,-3,NO
Business & Marketing,macintosh,0,3,-3,NO
Business & Marketing,microsoft office including word,0,3,-3,NO
Business & Marketing,portuguese (fluent),0,3,-3,NO
Business & Marketing,principal component analysis,0,3,-3,NO
Business & Marketing,frame,0,3,-3,NO
Business & Marketing,microprocessors,0,3,-3,NO
Business & Marketing,along with other finance department staff,0,3,-3,NO
Business & Marketing,ms powerpoint,0,3,-3,NO
Business & Marketing,ibm spss,0,3,-3,NO
Business & Marketing,knn,0,3,-3,NO
Business & Marketing,issue resolution,0,3,-3,NO
Business & Marketing,easy power,0,3,-3,NO
Business & Marketing,bi360 (businessintelligence tool),0,3,-3,NO
Business & Marketing,engineering cost estimating,0,3,-3,NO
Business & Marketing,reliability sae standards,0,3,-3,NO
Business & Marketing,new hire orientation,0,3,-3,NO
Business & Marketing,classroom monitoring,0,3,-3,NO
Business & Marketing,visio),0,3,-3,NO
Business & Marketing,sharepoint & costpoint,0,3,-3,NO
Business & Marketing,c/python,0,3,-3,NO
Business & Marketing,tax software,0,3,-3,NO
Business & Marketing,executive management,0,3,-3,NO
Business & Marketing,process capability,0,3,-3,NO
Business & Marketing,doe (design of experiment),0,3,-3,NO
Business & Marketing,ingenico,0,3,-3,NO
Business & Marketing,energetic,0,3,-3,NO
Business & Marketing,webscrapping,0,3,-3,NO
Business & Marketing,fund accounting,0,3,-3,NO
Business & Marketing,solar pv systems design,0,3,-3,NO
Business & Marketing,works with that department manager in preparation of annual budget,0,3,-3,NO
Business & Marketing,negotiating skills,0,3,-3,NO
Business & Marketing,proposal,0,3,-3,NO
Business & Marketing,scanner,0,3,-3,NO
Business & Marketing,it skills (shopper,0,3,-3,NO
Business & Marketing,training and development,0,3,-3,NO
Business & Marketing,product design,0,3,-3,NO
Business & Marketing,product excellence,0,3,-3,NO
Business & Marketing,floor plans,0,3,-3,NO
Business & Marketing,abaqus,0,3,-3,NO
Business & Marketing,testing and commissioning planning and execution,0,3,-3,NO
Business & Marketing,tirks,0,3,-3,NO
Business & Marketing,process analysis,0,3,-3,NO
Business & Marketing,xa,0,3,-3,NO
Business & Marketing,skilled in the use of hand tools for repairing and installing electronics,0,3,-3,NO
Business & Marketing,quality management,0,3,-3,NO
Business & Marketing,mechanical technician,0,3,-3,NO
Business & Marketing,hardworking,0,3,-3,NO
Business & Marketing,electrical mechanical systems,0,3,-3,NO
Business & Marketing,embedded c,0,3,-3,NO
Business & Marketing,rehabilitation,0,3,-3,NO
Business & Marketing,10key by touch,0,3,-3,NO
Business & Marketing,microsoft word/excel,0,3,-3,NO
Business & Marketing,profit and loss account,0,3,-3,NO
Business & Marketing,defect detection,0,3,-3,NO
Business & Marketing,architect,0,3,-3,NO
Business & Marketing,pharmacy,0,3,-3,NO
Business & Marketing,pricing proposal development,0,3,-3,NO
Business & Marketing,hp alm quality center,0,3,-3,NO
Business & Marketing,document management testing,0,3,-3,NO
Business & Marketing,backend,0,3,-3,NO
Business & Marketing,mercurial,0,3,-3,NO
Business & Marketing,maintenance schedules,0,3,-3,NO
Business & Marketing,lean manufacturing and management,0,3,-3,NO
Business & Marketing,build teams,0,3,-3,NO
Business & Marketing,industrial machinery,0,3,-3,NO
Business & Marketing,contract negotiation,0,3,-3,NO
Business & Marketing,aci-prm,0,3,-3,NO
Business & Marketing,omb circular a-133,0,3,-3,NO
Business & Marketing,financial analyst,0,3,-3,NO
Business & Marketing,database servers,0,3,-3,NO
Business & Marketing,electrical engineer,0,3,-3,NO
Business & Marketing,ergonomic and safety conscious,0,3,-3,NO
Business & Marketing,accounting packages,0,3,-3,NO
Business & Marketing,enterprise software,0,3,-3,NO
Business & Marketing,electrical equipment operation,0,3,-3,NO
Business & Marketing,computer proficiency,0,3,-3,NO
Business & Marketing,highly responsible and reliable,0,3,-3,NO
Business & Marketing,gage r & r,0,3,-3,NO
Business & Marketing,siebel,0,3,-3,NO
Business & Marketing,trade shows,0,3,-3,NO
Business & Marketing,budgetary and policy development,0,3,-3,NO
Business & Marketing,emperical modelling,0,3,-3,NO
Business & Marketing,equities,0,3,-3,NO
Business & Marketing,policy/program development,0,3,-3,NO
Business & Marketing,proficiency in tcp/ip protocols,0,3,-3,NO
Business & Marketing,multi-tasking,0,3,-3,NO
Business & Marketing,puppet,0,3,-3,NO
Business & Marketing,quick test professional,0,3,-3,NO
Business & Marketing,lead development,0,3,-3,NO
Business & Marketing,projectors,0,3,-3,NO
Business & Marketing,hp quality center,0,3,-3,NO
Business & Marketing,market and development,0,3,-3,NO
Business & Marketing,cost accounting,0,3,-3,NO
Business & Marketing,technical: vantive,0,3,-3,NO
Business & Marketing,cloud infrastructure,0,3,-3,NO
Business & Marketing,document manager software,0,3,-3,NO
Business & Marketing,outpatient,0,3,-3,NO
Business & Marketing,speaker,0,3,-3,NO
Business & Marketing,performance testing,0,3,-3,NO
Business & Marketing,stratton warren mms,0,3,-3,NO
Business & Marketing,sas base,0,3,-3,NO
Business & Marketing,sculpting,0,3,-3,NO
Business & Marketing,computer literate,0,3,-3,NO
Business & Marketing,financial modeling,0,3,-3,NO
Business & Marketing,applications: ms office 2010-2016 (word,0,3,-3,NO
Business & Marketing,pneumatics,0,3,-3,NO
Business & Marketing,compliance testing knowledge,0,3,-3,NO
Business & Marketing,creative solutions bookkeeping software,0,3,-3,NO
Business & Marketing,manufacturing systems integration,0,3,-3,NO
Business & Marketing,business and commercial acumen,0,3,-3,NO
Business & Marketing,vm,0,3,-3,NO
Business & Marketing,self-directed,0,3,-3,NO
Business & Marketing,monthly sales,0,3,-3,NO
Business & Marketing,very organized & energetic,0,3,-3,NO
Business & Marketing,macro media director,0,3,-3,NO
Business & Marketing,keane care,0,3,-3,NO
Business & Marketing,direct mail,0,3,-3,NO
Business & Marketing,sheets,0,3,-3,NO
Business & Marketing,product manager,0,3,-3,NO
Business & Marketing,hp qtp,0,3,-3,NO
Business & Marketing,java 2,0,3,-3,NO
Business & Marketing,student assistance,0,3,-3,NO
Business & Marketing,stories,0,3,-3,NO
Business & Marketing,gru,0,3,-3,NO
Business & Marketing,cyber ethics,0,3,-3,NO
Business & Marketing,dynamic,0,3,-3,NO
Business & Marketing,surface mount,0,3,-3,NO
Business & Marketing,mortgage loan,0,3,-3,NO
Business & Marketing,intuit payroll,0,3,-3,NO
Business & Marketing,reconciled various general ledger fund accounts,0,3,-3,NO
